R,G,B,H,S,L,Brightness,Target
110.0,185.0,219.0,198.72,0.6,0.65,166.45,Good
244.0,54.0,220.0,307.58,0.9,0.58,129.73,Medium
196.0,187.0,17.0,56.98,0.84,0.42,170.31,Medium
187.0,,122.0,,,,,
98.0,177.0,0.0,86.78,1.0,0.35,133.2,Medium
22.0,177.0,94.0,147.87,0.78,0.39,121.19,Medium
219.0,163.0,66.0,38.04,0.68,0.56,168.69,Medium
81.0,122.0,59.0,99.05,0.35,0.35,102.56,Medium
4.0,130.0,164.0,192.75,0.95,0.33,96.2,Medium
24.0,231.0,53.0,128.41,0.81,0.5,148.81,Medium
134.0,184.0,96.0,94.09,0.38,0.55,159.02,Medium
246.0,118.0,170.0,335.62,0.88,0.71,162.2,Bad
238.0,104.0,251.0,294.69,0.95,0.7,160.82,Good
79.0,78.0,115.0,241.62,0.19,0.38,82.52,Medium
109.0,36.0,180.0,270.42,0.67,0.42,74.24,Good
81.0,250.0,143.0,142.01,0.94,0.65,187.27,Medium
185.0,82.0,103.0,347.77,0.42,0.52,115.19,Bad
46.0,57.0,10.0,74.04,0.7,0.13,48.35,Bad
189.0,59.0,36.0,9.02,0.68,0.44,95.25,Bad
251.0,155.0,150.0,2.97,0.93,0.79,183.13,Good
41.0,79.0,7.0,91.67,0.84,0.17,59.43,Medium
214.0,107.0,193.0,311.78,0.57,0.63,148.8,Medium
153.0,213.0,58.0,83.23,0.65,0.53,177.39,Medium
11.0,166.0,244.0,200.09,0.91,0.5,128.55,Good
24.0,155.0,,,,,,
76.0,191.0,64.0,114.33,0.5,0.5,142.14,Medium
76.0,123.0,116.0,171.06,0.24,0.39,108.15,Medium
198.0,158.0,106.0,33.91,0.45,0.6,164.03,Medium
201.0,7.0,187.0,304.33,0.93,0.41,85.53,Medium
54.0,45.0,,,,,,
32.0,172.0,112.0,154.29,0.69,0.4,123.3,Medium
76.0,224.0,148.0,149.19,0.7,0.59,171.08,Medium
10.0,71.0,141.0,212.06,0.87,0.3,60.74,Medium
80.0,210.0,235.0,189.68,0.79,0.62,173.98,Good
