R,G,B,H,S,L,Brightness,Target
73.0,241.0,245.0,181.4,0.9,0.62,191.22,Good
79.0,71.0,90.0,265.26,0.12,0.32,75.56,Medium
3.0,124.0,183.0,199.67,0.97,0.36,94.55,Medium
61.0,168.0,,,,,,
,135.0,75.0,,,,,
86.0,14.0,10.0,3.16,0.79,0.19,35.07,Medium
81.0,110.0,2.0,76.11,0.96,0.22,89.02,Medium
157.0,172.0,73.0,69.09,0.4,0.48,156.23,Medium
122.0,205.0,187.0,166.99,0.45,0.64,178.13,Medium
185.0,171.0,72.0,52.57,0.45,0.5,163.9,Medium
50.0,3.0,168.0,257.09,0.96,0.34,35.86,Medium
169.0,213.0,,,,,,
120.0,112.0,211.0,244.85,0.53,0.63,125.68,Good
97.0,191.0,210.0,190.09,0.56,0.6,165.06,Good
8.0,205.0,0.0,117.66,1.0,0.4,122.73,Medium
85.0,198.0,33.0,101.09,0.71,0.45,145.4,Medium
217.0,64.0,150.0,326.27,0.67,0.55,119.55,Medium
253.0,89.0,,,,,,
242.0,162.0,73.0,31.6,0.87,0.62,175.77,Medium
98.0,163.0,176.0,190.0,0.33,0.54,145.05,Good
211.0,125.0,198.0,309.07,0.49,0.66,159.04,Medium
247.0,194.0,62.0,42.81,0.92,0.61,194.8,Medium
102.0,,19.0,,,,,
243.0,62.0,89.0,351.05,0.88,0.6,119.2,Bad
18.0,201.0,143.0,160.98,0.84,0.43,139.67,Medium
174.0,24.0,171.0,301.2,0.76,0.39,85.61,Medium
10.0,196.0,183.0,175.81,0.9,0.4,138.9,Medium
187.0,243.0,119.0,87.1,0.84,0.71,212.12,Medium
4.0,192.0,252.0,194.52,0.98,0.5,142.63,Good
19.0,106.0,6.0,112.2,0.89,0.22,68.59,Medium
215.0,179.0,216.0,298.38,0.32,0.77,193.98,Good
101.0,,132.0,,,,,
174.0,169.0,200.0,249.68,0.22,0.72,174.03,Good
139.0,67.0,89.0,341.67,0.35,0.4,91.04,Bad
114.0,184.0,233.0,204.71,0.73,0.68,168.66,Good
121.0,30.0,75.0,330.33,0.6,0.3,62.34,Bad
52.0,89.0,,,,,,
114.0,247.0,123.0,124.06,0.89,0.71,193.1,Medium
