iter	Passed	Remaining
0	1	359
1	2	317
2	3	293
3	4	285
4	5	280
5	6	282
6	8	280
7	9	276
8	10	272
9	11	270
10	12	272
11	14	285
12	15	283
13	16	281
14	17	278
15	18	273
16	19	271
17	20	269
18	21	266
19	22	264
20	23	260
21	24	258
22	25	256
23	26	252
24	27	251
25	29	253
26	30	253
27	31	251
28	32	249
29	33	248
30	34	246
31	35	244
32	36	241
33	37	239
34	38	238
35	39	235
36	40	234
37	41	232
38	42	231
39	43	229
40	44	228
41	45	227
42	46	226
43	47	224
44	48	222
45	49	221
46	50	219
47	51	217
48	52	216
49	53	214
50	54	212
51	55	211
52	56	209
53	57	207
54	58	205
55	58	204
56	60	203
57	61	202
58	62	201
59	63	200
60	64	198
61	65	197
62	66	195
63	66	194
64	67	193
65	68	191
66	69	190
67	70	189
68	71	187
69	72	186
70	73	185
71	74	184
72	75	182
73	76	182
74	77	181
75	78	180
76	79	179
77	81	179
78	82	178
79	83	177
80	84	176
81	85	175
82	86	173
83	87	172
84	88	171
85	89	170
86	90	168
87	91	167
88	92	166
89	93	165
90	94	165
91	95	163
92	96	162
93	97	161
94	98	160
95	99	159
96	100	158
97	101	157
98	102	156
99	103	154
100	104	153
101	105	152
102	106	151
103	107	150
104	108	149
105	109	148
106	110	147
107	111	146
108	112	145
109	113	144
110	114	143
111	115	142
112	116	141
113	117	139
114	118	138
115	119	137
116	120	136
117	121	135
118	122	134
119	123	133
120	124	132
121	125	131
122	126	130
123	127	129
124	128	128
125	129	127
126	130	126
127	131	125
128	132	124
129	133	123
130	134	122
131	136	121
132	137	120
133	138	119
134	139	118
135	140	117
136	141	116
137	142	115
138	143	114
139	144	113
140	145	112
141	146	111
142	147	110
143	148	109
144	149	108
145	150	107
146	151	106
147	152	105
148	153	104
149	154	103
150	155	102
151	156	101
152	158	100
153	159	99
154	160	98
155	161	97
156	162	96
157	163	95
158	164	93
159	165	92
160	166	91
161	167	90
162	168	89
163	169	88
164	170	87
165	171	86
166	172	85
167	173	84
168	174	83
169	175	82
170	177	81
171	178	80
172	179	79
173	180	78
174	181	77
175	182	76
176	183	75
177	184	74
178	185	73
179	186	72
180	188	71
181	189	70
182	190	69
183	191	68
184	192	67
185	194	66
186	195	66
187	197	64
188	198	63
189	199	62
190	200	61
191	201	60
192	202	59
193	203	58
194	204	57
195	205	56
196	206	55
197	208	54
198	209	53
199	210	52
200	211	51
201	213	50
202	214	49
203	215	48
204	216	47
205	217	46
206	218	45
207	219	44
208	220	43
209	221	42
210	222	41
211	224	40
212	225	39
213	227	38
214	228	37
215	229	36
216	230	35
217	231	33
218	232	32
219	233	31
220	234	30
221	235	29
222	236	28
223	238	27
224	239	26
225	240	25
226	241	24
227	242	23
228	243	22
229	244	21
230	245	20
231	246	19
232	247	18
233	248	16
234	249	15
235	250	14
236	251	13
237	252	12
238	254	11
239	255	10
240	256	9
241	257	8
242	258	7
243	259	6
244	260	5
245	262	4
246	263	3
247	264	2
248	265	1
249	266	0
